"","Site","Year","Bosque","Periodo","Planta","fruit_set","id_planta"
"270","Doñana",2021,"Villamanrique Chaparral",6,"Cistus salviifolius",0.8,"(2,06)1"
"271","Doñana",2021,"Villamanrique Chaparral",6,"Cistus salviifolius",0.6,"3,08"
"272","Doñana",2021,"Villamanrique Chaparral",6,"Cistus salviifolius",1,"3,10"
"273","Doñana",2021,"Villamanrique Chaparral",6,"Cistus salviifolius",1,"4,02"
"274","Doñana",2021,"Villamanrique Chaparral",6,"Cistus salviifolius",0.8,"4,09"
"275","Doñana",2021,"Villamanrique Chaparral",6,"Cistus salviifolius",1,"5,06"
"276","Doñana",2021,"Villamanrique Chaparral",6,"Cistus salviifolius",0.6,"5,09"
"277","Doñana",2021,"Villamanrique Chaparral",6,"Cistus salviifolius",0.6,"(7,08)2"
"278","Doñana",2021,"Villamanrique Chaparral",6,"Cistus salviifolius",0.4,"(8,03)1"
"279","Doñana",2021,"Villamanrique Chaparral",7,"Cistus crispus",0.6,"(1,03)2"
"280","Doñana",2021,"Villamanrique Chaparral",7,"Cistus crispus",1,"1,04"
"281","Doñana",2021,"Villamanrique Chaparral",7,"Cistus crispus",1,"1,07"
"282","Doñana",2021,"Villamanrique Chaparral",7,"Cistus crispus",0.8,"(2,03)1"
"283","Doñana",2021,"Villamanrique Chaparral",7,"Cistus crispus",1,"(2,03)2"
"284","Doñana",2021,"Villamanrique Chaparral",7,"Cistus crispus",0.6,"2,05"
"285","Doñana",2021,"Villamanrique Chaparral",7,"Cistus crispus",0.8,"5,04"
"286","Doñana",2021,"Villamanrique Chaparral",7,"Cistus crispus",0.6,"6,04"
"287","Doñana",2021,"Villamanrique Chaparral",7,"Cistus crispus",1,"(7,01)2"
"288","Doñana",2021,"Villamanrique Chaparral",7,"Cistus crispus",1,"9,05"
"289","Doñana",2021,"Villamanrique Chaparral",8,"Cistus crispus",0,"1,02"
"290","Doñana",2021,"Villamanrique Chaparral",8,"Cistus crispus",1,"(1,03)1"
"291","Doñana",2021,"Villamanrique Chaparral",8,"Cistus crispus",1,"1,04"
"292","Doñana",2021,"Villamanrique Chaparral",8,"Cistus crispus",0.8,"1,07"
"293","Doñana",2021,"Villamanrique Chaparral",8,"Cistus crispus",0.8,"2,05"
"294","Doñana",2021,"Villamanrique Chaparral",8,"Cistus crispus",0.6,"4,07"
"295","Doñana",2021,"Villamanrique Chaparral",8,"Cistus crispus",1,"5,04"
"296","Doñana",2021,"Villamanrique Chaparral",8,"Cistus crispus",0.4,"5,05"
"297","Doñana",2021,"Villamanrique Chaparral",8,"Cistus crispus",0.8,"6,04"
"298","Doñana",2021,"Villamanrique Chaparral",8,"Cistus crispus",1,"(7,01)2"
"299","Doñana",2021,"Villamanrique Chaparral",9,"Cistus crispus",0,"1,07"
"300","Doñana",2021,"Villamanrique Chaparral",9,"Cistus crispus",1,"(3,01)1"
"301","Doñana",2021,"Villamanrique Chaparral",9,"Cistus crispus",0,"5,05"
"302","Doñana",2021,"Villamanrique Sur",2,"Cistus salviifolius",1,"(1,06)1"
"303","Doñana",2021,"Villamanrique Sur",2,"Cistus salviifolius",0.8,"2,03"
"304","Doñana",2021,"Villamanrique Sur",2,"Cistus salviifolius",1,"2,09"
"305","Doñana",2021,"Villamanrique Sur",2,"Cistus salviifolius",1,"3,07"
