"","Site","Year","Bosque","Periodo","Planta","fruit_set","id_planta","X","Degree","Specialization","Closeness","nestedcontribution","match","tot.visits.pl","poll.sp","plant.sp"
"82","Doñana",2021,"Pinar Aznalcazar",7,"Cistus crispus",1,"1,03",145,0.75,0.589285714285714,0.704251161654075,0.828079290507005,"Doñana_2021_Pinar Aznalcazar_7",38,12,6
"83","Doñana",2021,"Pinar Aznalcazar",7,"Cistus crispus",1,"2,01",145,0.75,0.589285714285714,0.704251161654075,0.828079290507005,"Doñana_2021_Pinar Aznalcazar_7",38,12,6
"84","Doñana",2021,"Pinar Aznalcazar",7,"Cistus crispus",1,"2,03",145,0.75,0.589285714285714,0.704251161654075,0.828079290507005,"Doñana_2021_Pinar Aznalcazar_7",38,12,6
"85","Doñana",2021,"Pinar Aznalcazar",7,"Cistus crispus",1,"2,06",145,0.75,0.589285714285714,0.704251161654075,0.828079290507005,"Doñana_2021_Pinar Aznalcazar_7",38,12,6
"86","Doñana",2021,"Pinar Aznalcazar",7,"Cistus crispus",0.6,"4,07",145,0.75,0.589285714285714,0.704251161654075,0.828079290507005,"Doñana_2021_Pinar Aznalcazar_7",38,12,6
"87","Doñana",2021,"Pinar Aznalcazar",7,"Cistus crispus",0.6,"7,03",145,0.75,0.589285714285714,0.704251161654075,0.828079290507005,"Doñana_2021_Pinar Aznalcazar_7",38,12,6
"88","Doñana",2021,"Pinar Aznalcazar",7,"Cistus crispus",0.4,"9,02",145,0.75,0.589285714285714,0.704251161654075,0.828079290507005,"Doñana_2021_Pinar Aznalcazar_7",38,12,6
"89","Doñana",2021,"Pinar Aznalcazar",7,"Cistus crispus",0.8,"9,07",145,0.75,0.589285714285714,0.704251161654075,0.828079290507005,"Doñana_2021_Pinar Aznalcazar_7",38,12,6
"90","Doñana",2021,"Pinar Aznalcazar",7,"Halimiun halimifolium",1,"8,10",NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","Doñana",2021,"Pinar Aznalcazar",7,"Halimiun halimifolium",0.6,"9,06",NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","Doñana",2021,"Pinar Aznalcazar",7,"Halimiun halimifolium",0.6,"(10,08)1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","Doñana",2021,"Pinar Aznalcazar",7,"Halimiun halimifolium",0.6,"(10,08)2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","Doñana",2021,"Pinar Aznalcazar",7,"Halimiun halimifolium",0.6,"10,09",NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","Doñana",2021,"Pinar Aznalcazar",8,"Cistus crispus",1,"9,07",150,0.733333333333333,NA,1,-1.79370569948296,"Doñana_2021_Pinar Aznalcazar_8",17,15,4
"96","Doñana",2021,"Pinar Aznalcazar",8,"Halimiun halimifolium",0.4,"8,10",NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","Doñana",2021,"Pinar Aznalcazar",8,"Halimiun halimifolium",0.3,"9,06",NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","Doñana",2021,"Pinar Aznalcazar",8,"Halimiun halimifolium",0.2,"(10,08)1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","Doñana",2021,"Pinar Aznalcazar",8,"Halimiun halimifolium",0.2,"(10,08)2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","Doñana",2021,"Pinar Aznalcazar",8,"Halimiun halimifolium",0.3,"10,09",NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","Doñana",2021,"Pinar Hinojos",1,"Halimiun calycinum",1,"(1,01)2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","Doñana",2021,"Pinar Hinojos",1,"Halimiun calycinum",0.6,"4,05",NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","Doñana",2021,"Pinar Hinojos",1,"Halimiun calycinum",1,"5,04",NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","Doñana",2021,"Pinar Hinojos",1,"Halimiun calycinum",0.8,"8,01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","Doñana",2021,"Pinar Hinojos",1,"Halimiun calycinum",0.8,"8,04",NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","Doñana",2021,"Pinar Hinojos",2,"Halimiun calycinum",0.8,"2,01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","Doñana",2021,"Pinar Hinojos",2,"Halimiun calycinum",0.333333333333333,"3,06",NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","Doñana",2021,"Pinar Hinojos",2,"Halimiun calycinum",0.4,"4,05",NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","Doñana",2021,"Pinar Hinojos",2,"Halimiun calycinum",1,"5,04",NA,NA,NA,NA,NA,NA,NA,NA,NA
