Fecha,Hora,Bosque,"Transecto (1,2,3)",Planta,Polinizador,sexo,capturado?,Codigo_frasco,Observaciones,Ronda,Codigo_Final,Latitude,Longitude
30/04/22,11:30:00,4,1,Taraxacum officinale,?=12,,no,,,2,,,
30/04/22,11:38:00,4,1,Taraxacum officinale,?=6,,no,,,2,,,
30/04/22,11:41:00,4,1,Taraxacum officinale,?=6,,no,,,2,,,
30/04/22,11:42:00,4,1,Taraxacum officinale,?=6,,no,,,2,,,
30/04/22,11:43:00,4,1,Taraxacum officinale,?=12,,no,,,2,,,
30/04/22,13:04:00,4,2,Scilla verna,,,si,32,,2,,,
30/04/22,13:08:00,4,2,Vaccinium myrtillus,,,si,33,,2,,,
30/04/22,13:12:00,4,2,Scilla verna,,,si,34,,2,,,
30/04/22,13:16:00,4,2,Bellis perennis,?=32,,no,,,2,,,
30/04/22,13:17:00,4,2,Bellis perennis,?=32,,no,,,2,,,
30/04/22,13:18:00,4,2,Taraxacum officinale,?=12,,no,,,2,,,
30/04/22,13:20:00,4,2,Taraxacum officinale,?=13,,no,,,2,,,
30/04/22,13:21:00,4,2,Scilla verna,?=32,,no,,,2,,,
30/04/22,13:23:00,4,2,Taraxacum officinale,?=13,,no,,,2,,,
30/04/22,13:24:00,4,2,Taraxacum officinale,Apis mellifera,,no,,,2,,,
30/04/22,13:27:00,4,2,Bellis perennis,?=32,,no,,,2,,,
30/04/22,13:27:00,4,2,Bellis perennis,?=32,,no,,,2,,,
30/04/22,13:27:00,4,2,Bellis perennis,?=32,,no,,,2,,,
30/04/22,13:33:00,4,2,Scilla verna,?=32,,no,,,2,,,
30/04/22,13:37:00,4,2,Taraxacum officinale,?=12,,no,,,2,,,
30/04/22,13:41:00,4,2,Scilla verna,,,si,35,,2,,,
30/04/22,13:44:00,4,2,Taraxacum officinale,?=10,,no,,,2,,,
30/04/22,13:47:00,4,2,Taraxacum officinale,?=6,,no,,,2,,,
30/04/22,13:52:00,4,2,Taraxacum officinale,Apis mellifera,,no,,,2,,,
30/04/22,15:43:00,4,3,Taraxacum officinale,?=12,,no,,,2,,,
30/04/22,15:45:00,4,3,Taraxacum officinale,,,si,36,,2,,,
30/04/22,15:47:00,4,3,Taraxacum officinale,Apis mellifera,,no,,,2,,,
30/04/22,15:51:00,4,3,Taraxacum officinale,?=6,,no,,,2,,,
30/04/22,15:52:00,4,3,Bellis perennis,?=6,,no,,,2,,,
30/04/22,15:57:00,4,3,Scilla verna,?=32,,no,,,2,,,
30/04/22,16:01:00,4,3,Taraxacum officinale,Apis mellifera,,no,,,2,,,
30/04/22,16:02:00,4,3,Taraxacum officinale,Apis mellifera,,no,,,2,,,
30/04/22,16:05:00,4,3,Taraxacum officinale,?=6,,no,,,2,,,
30/04/22,16:10:00,4,3,Taraxacum officinale,Apis mellifera,,no,,,2,,,
30/04/22,16:21:00,4,3,Taraxacum officinale,?=35,,no,,,2,,,
30/04/22,16:23:00,4,3,Bellis perennis,?=32,,no,,,2,,,
04/05/22,10:45:00,5,1,,Ø,,,,"Niebla, sin viento. No hay polinizadores",2,,,
04/05/22,13:00:00,5,2,,Ø,,,,No hay polinizadores,2,,,
05/05/22,10:49:00,1,1,Viola riviniana,Bombus pascuorum,,no,,"Cálido, nublado,  no hay viento",3,,,
05/05/22,11:09:00,1,1,Helleborus viridis,Bombus pascuorum,,no,,,3,,,
05/05/22,11:17:00,1,1,Taraxacum officinale,?=1,,no,,,3,,,
05/05/22,11:18:00,1,1,Viola riviniana,Bombus pascuorum,,no,,,3,,,
05/05/22,11:21:00,1,1,Helleborus viridis,Bombus pascuorum,,no,,,3,,,
05/05/22,13:16:00,1,2,Helleborus viridis,Bombus pascuorum,,no,,,3,,,
05/05/22,13:19:00,1,2,Helleborus viridis,,,si,37,,3,,,
05/05/22,13:23:00,1,2,Viola riviniana,Bombus pascuorum,,no,,,3,,,
05/05/22,13:25:00,1,2,Taraxacum officinale,Bombus pascuorum,,no,,,3,,,
05/05/22,13:49:00,1,2,Helleborus viridis,Bombus pascuorum,,no,,,3,,,
05/05/22,13:54:00,1,2,Taraxacum officinale,Bombus pascuorum,,no,,,3,,,
05/05/22,13:55:00,1,2,Viola riviniana,Bombus pascuorum,,no,,,3,,,
05/05/22,15:35:00,1,3,Taraxacum officinale,Bombus pascuorum,,no,,,3,,,
05/05/22,15:37:00,1,3,Bellis perennis,?=1,,no,,,3,,,
05/05/22,15:45:00,1,3,Taraxacum officinale,Bombus pascuorum,,no,,,3,,,
05/05/22,15:55:00,1,3,Taraxacum officinale,Bombus pascuorum,,no,,,3,,,
05/05/22,15:58:00,1,3,Helleborus viridis,?=37,,no,,,3,,,
05/05/22,16:07:00,1,3,Taraxacum officinale,?=6,,no,,,3,,,
05/05/22,16:12:00,1,3,Bellis perennis,?=6,,no,,,3,,,
05/05/22,16:13:00,1,3,Helleborus viridis,Bombus pascuorum,,no,,,3,,,
05/05/22,16:15:00,1,3,Taraxacum officinale,Bombus pascuorum,,no,,,3,,,
06/05/22,10:45:00,3,1,,Ø,,,,"Cálido, nublado,  no hay viento. No hay polinizadores",2,,,
06/05/22,14:05:00,3,2,Lathyrus linifolius,Bombus lapidarius,,no,,,2,,,
06/05/22,15:41:00,3,3,Bellis perennis,?=6,,no,,,2,,,
06/05/22,16:07:00,3,3,Bellis perennis,?=1,,no,,,2,,,
06/05/22,16:09:00,3,3,Helleborus viridis,Bombus pascuorum,,no,,,2,,,
07/05/22,10:35:00,4,1,Taraxacum officinale,,,si,38,"Sol, despejado",3,,,
07/05/22,10:37:00,4,1,Taraxacum officinale,Eristalis sp.,,no,,,3,,,
07/05/22,10:40:00,4,1,Taraxacum officinale,?=11,,no,,,3,,,
07/05/22,10:44:00,4,1,Taraxacum officinale,Apis mellifera,,no,,,3,,,
07/05/22,10:50:00,4,1,Bellis perennis,?=21,,no,,,3,,,
07/05/22,10:52:00,4,1,Taraxacum officinale,Apis mellifera,,no,,,3,,,
07/05/22,10:56:00,4,1,Scilla verna,?=21,,no,,,3,,,
07/05/22,11:01:00,4,1,Potentilla erecta,?=34,,no,,,3,,,
07/05/22,11:08:00,4,1,Taraxacum officinale,Apis mellifera,,no,,,3,,,
07/05/22,11:09:00,4,1,Taraxacum officinale,Apis mellifera,,no,,,3,,,
07/05/22,11:11:00,4,1,Bellis perennis,?=21,,no,,,3,,,
07/05/22,11:12:00,4,1,Taraxacum officinale,?=13,,no,,,3,,,
07/05/22,11:14:00,4,1,Taraxacum officinale,?=11,,no,,,3,,,
07/05/22,11:16:00,4,1,Taraxacum officinale,Apis mellifera,,no,,,3,,,
07/05/22,11:20:00,4,1,Taraxacum officinale,?=13,,no,,,3,,,
07/05/22,11:23:00,4,1,Taraxacum officinale,Apis mellifera,,no,,,3,,,
07/05/22,11:23:00,4,1,Taraxacum officinale,Apis mellifera,,si,35,,3,,,
07/05/22,11:24:00,4,1,Taraxacum officinale,Apis mellifera,,no,,,3,,,
07/05/22,13:05:00,4,2,Potentilla erecta,?=13,,no,,,3,,,
07/05/22,13:08:00,4,2,Taraxacum officinale,Apis mellifera,,no,,,3,,,
07/05/22,13:09:00,4,2,Bellis perennis,?=6,,no,,,3,,,
07/05/22,13:10:00,4,2,Taraxacum officinale,Apis mellifera,,si,36,,3,,,
07/05/22,13:11:00,4,2,Taraxacum officinale,?=13,,no,,,3,,,
07/05/22,13:12:00,4,2,Scilla verna,?=21,,no,,,3,,,
07/05/22,13:14:00,4,2,Taraxacum officinale,?=13,,no,,,3,,,
07/05/22,13:25:00,4,2,Taraxacum officinale,?=11,,no,,,3,,,
07/05/22,13:27:00,4,2,Taraxacum officinale,?=11,,no,,,3,,,
07/05/22,13:27:00,4,2,Taraxacum officinale,?=34,,no,,,3,,,
07/05/22,13:30:00,4,2,Taraxacum officinale,?=11,,no,,,3,,,
07/05/22,13:37:00,4,2,Potentilla erecta,?=1,,no,,,3,,,
07/05/22,13:39:00,4,2,Potentilla erecta,?=13,,no,,,3,,,
07/05/22,13:42:00,4,2,Scilla verna,?=1,,no,,,3,,,
07/05/22,13:43:00,4,2,Taraxacum officinale,?=13,,no,,,3,,,
07/05/22,13:43:00,4,2,Scilla verna,?=1,,no,,,3,,,
07/05/22,13:45:00,4,2,Bellis perennis,?=34,,no,,,3,,,
07/05/22,13:45:00,4,2,Taraxacum officinale,?=39,,no,,,3,,,
07/05/22,13:46:00,4,2,Taraxacum officinale,Apis mellifera,,no,,,3,,,
07/05/22,13:47:00,4,2,Taraxacum officinale,,,si,40,Posible 40=11,3,,,
07/05/22,14:00:00,4,2,Taraxacum officinale,Apis mellifera,,no,,,3,,,
07/05/22,15:41:00,4,3,Taraxacum officinale,?=13,,no,,Viento,3,,,
07/05/22,15:44:00,4,3,Scilla verna,?=21,,no,,,3,,,
07/05/22,15:48:00,4,3,Taraxacum officinale,Apis mellifera,,no,,,3,,,
07/05/22,15:59:00,4,3,Taraxacum officinale,Apis mellifera,,no,,,3,,,
07/05/22,16:01:00,4,3,Bellis perennis,?=38,,no,,,3,,,
07/05/22,16:16:00,4,3,Potentilla erecta,?=6,,no,,,3,,,
07/05/22,16:23:00,4,3,Bellis perennis,?=6,,no,,,3,,,
07/05/22,16:23:00,4,3,Taraxacum officinale,Apis mellifera,,no,,,3,,,
07/05/22,16:24:00,4,3,Bellis perennis,?=6,,no,,,3,,,
09/05/22,11:10:00,5,1,Scilla verna, mariposa pequeña gris con puntos,,no,,"Sol, calor 20º , no hay viento.",3,,,
09/05/22,11:23:00,5,1,Scilla verna,?=1,,no,,,3,,,
09/05/22,11:30:00,5,1,Scilla verna,,,si,41,,3,,,
09/05/22,11:32:00,5,1,Scilla verna,?=41,,no,,,3,,,
