"","Planta","Periodo","Bosque","Year","Site","Semillas_viables","scaled_seeds","id_planta"
"163","Cistus libanotis",6,"Pinar Hinojos","2021","Doñana",21,-0.0438122898112156,"10,07"
"164","Cistus libanotis",6,"Pinar Hinojos","2021","Doñana",22,0.121700805031154,"10,07"
"165","Cistus libanotis",6,"Pinar Hinojos","2021","Doñana",24,0.452726994715892,"10,07"
"166","Cistus libanotis",6,"Pinar Hinojos","2021","Doñana",19,-0.374838479495954,"10,07"
"167","Cistus libanotis",6,"Pinar Hinojos","2021","Doñana",14,-1.2024039537078,"10,07"
"168","Cistus libanotis",6,"Pinar Hinojos","2021","Doñana",18,-0.540351574338323,"10,07"
"169","Cistus libanotis",6,"Pinar Hinojos","2021","Doñana",21,-0.0438122898112156,"10,07"
"170","Cistus libanotis",6,"Pinar Hinojos","2021","Doñana",19,-0.374838479495954,"10,07"
"171","Cistus libanotis",6,"Pinar Hinojos","2021","Doñana",21,-0.0438122898112156,"10,07"
"172","Cistus libanotis",6,"Pinar Hinojos","2021","Doñana",15,-1.03689085886543,"10,07"
"173","Cistus libanotis",6,"Pinar Hinojos","2021","Doñana",16,-0.871377764023062,"10,07"
"174","Cistus libanotis",6,"Pinar Hinojos","2021","Doñana",28,1.11477937408537,"10,07"
"175","Cistus libanotis",6,"Pinar Hinojos","2021","Doñana",13,-1.36791704855017,"10,07"
"176","Halimium calycinum",3,"Pinar Hinojos","2021","Doñana",2,-0.576444466226813,"(1,01)1"
"177","Halimium calycinum",3,"Pinar Hinojos","2021","Doñana",2,-0.576444466226813,"(1,01)1"
"178","Halimium calycinum",3,"Pinar Hinojos","2021","Doñana",0,-1.71865850115772,"(1,01)1"
"179","Halimium calycinum",1,"Pinar Hinojos","2021","Doñana",5,1.13687658616955,"(1,01)2"
"180","Halimium calycinum",1,"Pinar Hinojos","2021","Doñana",4,0.565769568704094,"(1,01)2"
"181","Halimium calycinum",1,"Pinar Hinojos","2021","Doñana",2,-0.576444466226813,"(1,01)2"
"182","Halimium calycinum",1,"Pinar Hinojos","2021","Doñana",0,-1.71865850115772,"(1,01)2"
"183","Halimium calycinum",1,"Pinar Hinojos","2021","Doñana",3,-0.00533744876135944,"(1,01)2"
"184","Halimium calycinum",3,"Pinar Hinojos","2021","Doñana",0,-1.71865850115772,"(1,01)2"
"185","Halimium calycinum",5,"Pinar Hinojos","2021","Doñana",1,-1.14755148369227,"(1,01)2"
"186","Halimium calycinum",6,"Pinar Hinojos","2021","Doñana",1,-1.14755148369227,"(1,01)2"
"187","Halimium calycinum",3,"Pinar Hinojos","2021","Doñana",1,-1.14755148369227,"(1,01)3"
"188","Halimium calycinum",3,"Pinar Hinojos","2021","Doñana",2,-0.576444466226813,"(1,01)3"
"189","Halimium calycinum",3,"Pinar Hinojos","2021","Doñana",2,-0.576444466226813,"(1,01)3"
"190","Halimium calycinum",4,"Pinar Hinojos","2021","Doñana",3,-0.00533744876135944,"(1,01)3"
"191","Halimium calycinum",4,"Pinar Hinojos","2021","Doñana",1,-1.14755148369227,"(1,01)3"
"192","Halimium calycinum",4,"Pinar Hinojos","2021","Doñana",2,-0.576444466226813,"(1,01)3"
"193","Halimium calycinum",4,"Pinar Hinojos","2021","Doñana",1,-1.14755148369227,"(1,01)3"
"194","Halimium calycinum",2,"Pinar Hinojos","2021","Doñana",4,0.565769568704094,"2,01"
"195","Halimium calycinum",2,"Pinar Hinojos","2021","Doñana",4,0.565769568704094,"2,01"
"196","Halimium calycinum",2,"Pinar Hinojos","2021","Doñana",3,-0.00533744876135944,"2,01"
"197","Halimium calycinum",2,"Pinar Hinojos","2021","Doñana",3,-0.00533744876135944,"2,01"
"198","Halimium calycinum",3,"Pinar Hinojos","2021","Doñana",5,1.13687658616955,"2,01"
"199","Halimium calycinum",3,"Pinar Hinojos","2021","Doñana",4,0.565769568704094,"2,01"
