"","X","Site","Year","Bosque","Periodo","Planta","Degree","Specialization","Closeness","nestedcontribution","match","tot.visits.pl","poll.sp","plant.sp"
"123",123,"Doñana",2021,"Pinar Aznalcazar",3,"Cistus salviifolius",0.692307692307692,0.230769230769231,0.589914951040399,-0.849839392958666,"Doñana_2021_Pinar Aznalcazar_3",32,13,3
"124",124,"Doñana",2021,"Pinar Aznalcazar",3,"Lavandula stoechas",0.307692307692308,1.21153846153846,0.767043828230251,-2.38113896284152,"Doñana_2021_Pinar Aznalcazar_3",25,13,3
"125",125,"Doñana",2021,"Pinar Aznalcazar",3,"Rosmarinus officinalis",0.153846153846154,0.0576923076923077,0.414083244786221,-2.015973909698,"Doñana_2021_Pinar Aznalcazar_3",2,13,3
"126",126,"Doñana",2021,"Pinar Aznalcazar",4,"Cistus ladanifer",0.333333333333333,0.121212121212121,0.488292780875542,0.182643512075567,"Doñana_2021_Pinar Aznalcazar_4",3,9,5
"127",127,"Doñana",2021,"Pinar Aznalcazar",4,"Cistus salviifolius",0.555555555555556,0.290909090909091,0.385281867234438,0.996086943666815,"Doñana_2021_Pinar Aznalcazar_4",10,9,5
"128",128,"Doñana",2021,"Pinar Aznalcazar",4,"Genista hirsuta",0.111111111111111,0.363636363636364,0.197317513939938,1.0954500341643,"Doñana_2021_Pinar Aznalcazar_4",3,9,5
"129",129,"Doñana",2021,"Pinar Aznalcazar",4,"Lavandula stoechas",0.333333333333333,0.519480519480519,0.267369635777969,0.592150741967161,"Doñana_2021_Pinar Aznalcazar_4",6,9,5
"130",130,"Doñana",2021,"Pinar Aznalcazar",4,"Rosmarinus officinalis",0.111111111111111,0,1,-1.35223111746995,"Doñana_2021_Pinar Aznalcazar_4",1,9,5
"131",131,"Doñana",2021,"Pinar Aznalcazar",5,"Aetheorhiza bulbosa",0.125,0,0.791985402323491,0.0859598869232688,"Doñana_2021_Pinar Aznalcazar_5",2,16,7
"132",132,"Doñana",2021,"Pinar Aznalcazar",5,"Cistus crispus",0.3125,0.185185185185185,0.687978103485236,0.368998448008325,"Doñana_2021_Pinar Aznalcazar_5",7,16,7
"133",133,"Doñana",2021,"Pinar Aznalcazar",5,"Cistus salviifolius",0.375,0.2,0.502713688725326,1.02425135123181,"Doñana_2021_Pinar Aznalcazar_5",8,16,7
"134",134,"Doñana",2021,"Pinar Aznalcazar",5,"Echium plantagineum",0.0625,0.142857142857143,0,0.558632507209446,"Doñana_2021_Pinar Aznalcazar_5",1,16,7
"135",135,"Doñana",2021,"Pinar Aznalcazar",5,"Galactites tomentosus",0.0625,0,1,-1.20426996196167,"Doñana_2021_Pinar Aznalcazar_5",1,16,7
"136",136,"Doñana",2021,"Pinar Aznalcazar",5,"Halimium halimifolium",0.1875,0,0.827804566205902,0.131860844857714,"Doñana_2021_Pinar Aznalcazar_5",3,16,7
