"","X","Site_id","Year","Bosque","Periodo","Planta","norm_degree","weight_closeness","d","match","tot.visits.pl","pl.mean.fs","se.pl.fs","pl.mean.sn","se.pl.sn"
"111",111,"Gorbea",2020,"3",8,"Plantago sp.",0.214285714285714,0.037037037037037,0.647389321559071,"Gorbea_2020_3_8_Plantago sp.",3,NA,NA,NA,NA
"112",112,"Gorbea",2020,"3",8,"Potentilla erecta",0.0714285714285714,0,0.410043723977943,"Gorbea_2020_3_8_Potentilla erecta",1,NA,NA,NA,NA
"113",113,"Gorbea",2020,"3",8,"Bellis perennis",0.0714285714285714,0.0374531835205993,0,"Gorbea_2020_3_8_Bellis perennis",1,NA,NA,NA,NA
"114",114,"Gorbea",2020,"3",8,"Teucrium pyrenaicum L. subsp. pyrenaicum",0.142857142857143,0.0617283950617284,1,"Gorbea_2020_3_8_Teucrium pyrenaicum L. subsp. pyrenaicum",1,NA,NA,NA,NA
"115",115,"Gorbea",2020,"3",8,"Ranunculus sp.",0.428571428571429,0.0617283950617284,0.647389321559071,"Gorbea_2020_3_8_Ranunculus sp.",1,NA,NA,NA,NA
"116",116,"Gorbea",2020,"3",8,"Lotus corniculatus",0.0714285714285714,0.0466200466200466,0.410043723977943,"Gorbea_2020_3_8_Lotus corniculatus",1,NA,NA,NA,NA
"117",117,"Gorbea",2020,"5",8,"Erica cinerea",0.166666666666667,0,0,"Gorbea_2020_5_8_Erica cinerea",11,NA,NA,NA,NA
"118",118,"Gorbea",2020,"5",8,"Ulex gallii",0.833333333333333,0.290909090909091,1,"Gorbea_2020_5_8_Ulex gallii",4,NA,NA,NA,NA
"119",119,"Gorbea",2020,"5",8,"Daboecia cantabrica",0.166666666666667,0.290909090909091,0.647389321559071,"Gorbea_2020_5_8_Daboecia cantabrica",2,NA,NA,NA,NA
"120",120,"Gorbea",2020,"5",8,"Potentilla erecta",0.166666666666667,0.242424242424242,0.410043723977943,"Gorbea_2020_5_8_Potentilla erecta",2,NA,NA,NA,NA
"121",121,"Gorbea",2020,"4",8,"Erica cinerea",0.111111111111111,0.165289256198347,0,"Gorbea_2020_4_8_Erica cinerea",5,NA,NA,NA,NA
"122",122,"Gorbea",2020,"4",8,"Taraxacum sp.",0.333333333333333,0,1,"Gorbea_2020_4_8_Taraxacum sp.",5,NA,NA,NA,NA
"123",123,"Gorbea",2020,"4",8,"Potentilla erecta",0.111111111111111,0.13986013986014,0.647389321559071,"Gorbea_2020_4_8_Potentilla erecta",12,NA,NA,NA,NA
"124",124,"Gorbea",2020,"4",8,"Ranunculus sp.",0.222222222222222,0.12987012987013,0.410043723977943,"Gorbea_2020_4_8_Ranunculus sp.",1,NA,NA,NA,NA
"125",125,"Gorbea",2020,"4",8,"Prunella grandiflora",0.111111111111111,0,0,"Gorbea_2020_4_8_Prunella grandiflora",1,NA,NA,NA,NA
"126",126,"Gorbea",2020,"4",8,"Jasione sp.",0.111111111111111,0.165289256198347,1,"Gorbea_2020_4_8_Jasione sp.",1,NA,NA,NA,NA
"127",127,"Gorbea",2020,"4",8,"Trifolium repens",0.444444444444444,0.25974025974026,0.647389321559071,"Gorbea_2020_4_8_Trifolium repens",1,NA,NA,NA,NA
"128",128,"Gorbea",2020,"4",8,"Bellis perennis",0.111111111111111,0,0.410043723977943,"Gorbea_2020_4_8_Bellis perennis",1,NA,NA,NA,NA
"129",129,"Gorbea",2021,"1",1,"Ranunculus ficaria",0.166666666666667,0.116883116883117,0,"Gorbea_2021_1_1_Ranunculus ficaria",1,NA,NA,NA,NA
"130",130,"Gorbea",2021,"1",1,"Taraxacum sp.",0.333333333333333,0.122448979591837,1,"Gorbea_2021_1_1_Taraxacum sp.",14,NA,NA,NA,NA
"131",131,"Gorbea",2021,"1",1,"Helleborus viridis subsp. occidentalis",0.166666666666667,0.111801242236025,0.647389321559071,"Gorbea_2021_1_1_Helleborus viridis subsp. occidentalis",4,NA,NA,NA,NA
"132",132,"Gorbea",2021,"1",1,"Bellis perennis",0.833333333333333,0.428571428571429,0.410043723977943,"Gorbea_2021_1_1_Bellis perennis",1,NA,NA,NA,NA
"133",133,"Gorbea",2021,"3",2,"Scilla verna",0.333333333333333,NA,0,"Gorbea_2021_3_2_Scilla verna",2,1,NA,NA,NA
